Mina, Sirmons, Robertson, False, 2021043891, msirmons3891@estudianteclvz.cr, (25, 84, 48, 54.9, 54.9) 
Juan, Gray, Means, True, 2020016537, jgray6537@estudianteclvz.cr, (98, 83, 67, 80.3, 80.3) 
Linda, Martinez, Silbert, True, 2024048160, lmartinez8160@estudianteclvz.cr, (55, 43, 58, 52.0, 52.0) 
Sandra, Taylor, Shaw, True, 2025011684, staylor1684@estudianteclvz.cr, (42, 93, 51, 63.5, 63.5) 
John, Cervantes, Cyrus, True, 2024057484, jcervantes7484@estudianteclvz.cr, (40, 5, 94, 49.4, 49.4) 
Eric, Brennan, Nielsen, False, 2022056984, ebrennan6984@estudianteclvz.cr, (13, 14, 1, 8.5, 8.5) 
Mary, Vail, Wilson, True, 2020034008, mvail4008@estudianteclvz.cr, (77, 92, 84, 85.0, 85.0) 
Kelli, Howard, Bradford, True, 2023050340, khoward0340@estudianteclvz.cr, (6, 80, 32, 42.3, 42.3) 
Katherine, Daugherty, Larson, False, 2020049941, kdaugherty9941@estudianteclvz.cr, (16, 76, 1, 31.0, 31.0) 
Olive, Oh, Alber, False, 2024022902, ooh2902@estudianteclvz.cr, (89, 11, 7, 28.9, 28.9) 
Paul, Taylor, Wade, False, 2021056685, ptaylor6685@estudianteclvz.cr, (69, 43, 40, 48.3, 48.3) 
Robert, Cullum, Ginsberg, True, 2020015402, rcullum5402@estudianteclvz.cr, (70, 73, 77, 73.8, 73.8) 
Sarah, Barr, Murray, True, 2020011026, sbarr1026@estudianteclvz.cr, (90, 56, 53, 63.3, 63.3) 
Henry, Silva, Stromme, False, 2020025955, hsilva5955@estudianteclvz.cr, (1, 8, 5, 5.0, 5.0) 
Wayne, Castro, Moon, False, 2024037149, wcastro7149@estudianteclvz.cr, (53, 54, 64, 57.8, 57.8) 
Edith, Meissner, Colquitt, True, 2025023877, emeissner3877@estudianteclvz.cr, (51, 69, 90, 72.9, 72.9) 
Kathleen, Mahoney, Lacey, True, 2020066124, kmahoney6124@estudianteclvz.cr, (80, 29, 85, 64.2, 64.2) 
Carmen, Turner, Martin, True, 2025053800, cturner3800@estudianteclvz.cr, (19, 100, 51, 60.2, 60.2) 
Lonnie, Nemeth, Looney, False, 2021013871, lnemeth3871@estudianteclvz.cr, (47, 16, 29, 29.0, 29.0) 
Kevin, Coleman, Nopper, False, 2022032226, kcoleman2226@estudianteclvz.cr, (60, 69, 61, 63.5, 63.5) 
Forrest, Deluca, Wagner, True, 2020034227, fdeluca4227@estudianteclvz.cr, (96, 65, 97, 85.6, 85.6) 
Alison, Clayton, Huggins, False, 2020012635, aclayton2635@estudianteclvz.cr, (36, 79, 61, 61.0, 61.0) 
Garry, Batchelor, Schneider, False, 2021060511, gbatchelor0511@estudianteclvz.cr, (61, 82, 14, 49.6, 49.6) 
Erika, Moore, Griffey, True, 2025051650, emoore1650@estudianteclvz.cr, (7, 60, 44, 40.4, 40.4) 
Dorothy, Lynch, Perez, True, 2021060687, dlynch0687@estudianteclvz.cr, (63, 91, 63, 72.8, 72.8) 
Louis, Mccain, Sanzotta, False, 2023021715, lmccain1715@estudianteclvz.cr, (8, 52, 33, 33.4, 33.4) 
Donald, Wooten, Flynn, False, 2022018724, dwooten8724@estudianteclvz.cr, (10, 12, 8, 9.9, 9.9) 
Francisca, Lavoie, Hamilton, False, 2022053718, flavoie3718@estudianteclvz.cr, (41, 9, 89, 49.0, 49.0) 
David, Costello, Carver, True, 2024027788, dcostello7788@estudianteclvz.cr, (35, 80, 15, 42.8, 42.8) 
Emily, Sparkman, Cervantes, True, 2020028661, esparkman8661@estudianteclvz.cr, (8, 48, 74, 48.4, 48.4) 
Amy, Chase, Taylor, True, 2025045028, achase5028@estudianteclvz.cr, (86, 27, 68, 58.2, 58.2) 
Miguel, Newberry, Collins, False, 2023067743, mnewberry7743@estudianteclvz.cr, (54, 16, 22, 27.9, 27.9) 
David, Lavette, Rockwell, False, 2022068442, dlavette8442@estudianteclvz.cr, (65, 80, 36, 58.6, 58.6) 
Irene, Houser, Knackstedt, False, 2021029966, ihouser9966@estudianteclvz.cr, (65, 96, 37, 64.6, 64.6) 
Patricia, Walker, Monroe, False, 2020053777, pwalker3777@estudianteclvz.cr, (41, 71, 18, 42.3, 42.3) 
Debra, Wood, Prosper, False, 2022050090, dwood0090@estudianteclvz.cr, (83, 67, 37, 59.0, 59.0) 
Derrick, Mcdonald, Unrein, False, 2022039903, dmcdonald9903@estudianteclvz.cr, (78, 31, 45, 48.4, 48.4) 
Catherine, Cannon, Crawford, False, 2020057953, ccannon7953@estudianteclvz.cr, (41, 85, 20, 48.0, 48.0) 
John, Baran, Dyckman, True, 2020042592, jbaran2592@estudianteclvz.cr, (37, 51, 10, 31.1, 31.1) 
Andrew, Puleo, Sargeant, False, 2023059577, apuleo9577@estudianteclvz.cr, (100, 75, 90, 87.2, 87.2) 
Lynne, Adams, Jones, True, 2021022869, ladams2869@estudianteclvz.cr, (2, 92, 100, 72.7, 72.7) 
Daniel, Smith, Williams, True, 2021020719, dsmith0719@estudianteclvz.cr, (91, 44, 31, 50.5, 50.5) 
Boyce, Vasquez, Delarosa, False, 2025022373, bvasquez2373@estudianteclvz.cr, (27, 26, 35, 29.9, 29.9) 
Christopher, Sanchez, Thomas, True, 2022062504, csanchez2504@estudianteclvz.cr, (81, 69, 86, 78.8, 78.8) 
Jose, Douglas, Medley, False, 2021022992, jdouglas2992@estudianteclvz.cr, (91, 55, 55, 64.0, 64.0) 
Patrick, Yielding, Hamill, True, 2020057746, pyielding7746@estudianteclvz.cr, (76, 84, 75, 78.4, 78.4) 
William, Binger, Hanisch, False, 2024026003, wbinger6003@estudianteclvz.cr, (7, 16, 85, 41.4, 41.4) 
Jeffrey, Ridgeway, Griffith, True, 2020029668, jridgeway9668@estudianteclvz.cr, (69, 30, 22, 36.5, 36.5) 
Celeste, Higgins, Petty, False, 2025064402, chiggins4402@estudianteclvz.cr, (18, 97, 21, 46.8, 46.8) 
Carlo, Valdez, Johnson, False, 2025057062, cvaldez7062@estudianteclvz.cr, (83, 98, 17, 61.8, 61.8) 
Forrest, Mccaslin, Edwards, False, 2025045855, fmccaslin5855@estudianteclvz.cr, (28, 31, 84, 51.5, 51.5) 
Matthew, Hunt, Francis, False, 2021037169, mhunt7169@estudianteclvz.cr, (4, 100, 28, 47.2, 47.2) 
Linda, Tubbs, Gilley, True, 2020022518, ltubbs2518@estudianteclvz.cr, (83, 48, 66, 64.0, 64.0) 
Donald, Losinski, Jones, True, 2021045339, dlosinski5339@estudianteclvz.cr, (90, 44, 88, 73.1, 73.1) 
Jorge, Ramírez, González, True, 2020033032, jrama�rez3032@estudianteclvz.cr, (58, 8, 96, 55.7, 55.7)
Luis, Vargas, Chaves, False, 2025058782, lvargas8782@estudianteclvz.cr, (71, 66, 68, 68.0, 68.0)
Camila, Flores, Díaz, True, 2024024178, cflores4178@estudianteclvz.cr, (55, 67, 72, 66.0, 66.0)
Valeria, Chaves, Rodríguez, True, 2022041843, vchaves1843@estudianteclvz.cr, (7, 47, 38, 33.4, 33.4)
Ana, Navarro, Ramírez, True, 2021024771, anavarro4771@estudianteclvz.cr, (11, 63, 51, 45.2, 45.2)
Ana, Navarro, Castro, True, 2021037814, anavarro7814@estudianteclvz.cr, (28, 50, 49, 44.1, 44.1)
Luis, Mora, Acosta, True, 2021024706, lmora4706@estudianteclvz.cr, (38, 41, 68, 51.1, 51.1)
Carlos, Morales, Martínez, True, 2021042955, cmorales2955@estudianteclvz.cr, (15, 75, 20, 38.0, 38.0)
Camila, Rivera, Rojas, False, 2025018279, crivera8279@estudianteclvz.cr, (85, 43, 5, 38.3, 38.3)
Pedro, Chaves, González, True, 2022027138, pchaves7138@estudianteclvz.cr, (79, 57, 10, 43.7, 43.7)
Luis, Morales, Ramírez, True, 2025029511, lmorales9511@estudianteclvz.cr, (87, 62, 11, 47.9, 47.9)
Lucía, Rojas, Díaz, False, 2020010084, lrojas0084@estudianteclvz.cr, (25, 53, 26, 35.2, 35.2)
María, Solano, Rodríguez, True, 2020042001, msolano2001@estudianteclvz.cr, (58, 7, 13, 22.1, 22.1)
Paula, Mora, Sánchez, False, 2025047112, pmora7112@estudianteclvz.cr, (40, 18, 60, 40.3, 40.3)
Sofía, Rivera, Rodríguez, True, 2020046455, srivera6455@estudianteclvz.cr, (13, 50, 82, 53.6, 53.6)
Paula, Ramírez, Díaz, False, 2021011259, prama�rez1259@estudianteclvz.cr, (22, 44, 78, 52.1, 52.1)
Manuel, Sánchez, Acosta, False, 2024026404, msa�nchez6404@estudianteclvz.cr, (48, 42, 50, 46.7, 46.7)
Pedro, Chaves, Rivera, True, 2025051220, pchaves1220@estudianteclvz.cr, (100, 65, 87, 82.6, 82.6)
Sofía, Torres, Solano, False, 2024058910, storres8910@estudianteclvz.cr, (72, 39, 26, 42.0, 42.0)
Ana, Pérez, Pérez, False, 2020034263, apa�rez4263@estudianteclvz.cr, (42, 85, 51, 60.7, 60.7)
Miguel, Morales, Ramírez, True, 2020041751, mmorales1751@estudianteclvz.cr, (40, 9, 61, 37.6, 37.6)
Paula, Castro, Pérez, False, 2025060677, pcastro0677@estudianteclvz.cr, (96, 71, 69, 76.4, 76.4)
María, Solano, Gómez, True, 2021064145, msolano4145@estudianteclvz.cr, (90, 54, 50, 61.4, 61.4)
Camila, Sánchez, Martínez, False, 2021052284, csa�nchez2284@estudianteclvz.cr, (67, 74, 5, 44.6, 44.6)
Pedro, Navarro, Flores, False, 2023020390, pnavarro0390@estudianteclvz.cr, (22, 74, 38, 46.6, 46.6)
Valeria, Morales, Díaz, False, 2023028151, vmorales8151@estudianteclvz.cr, (65, 30, 37, 41.5, 41.5)
Pedro, Rivera, Rivera, True, 2025061026, privera1026@estudianteclvz.cr, (34, 57, 8, 31.6, 31.6)
Gabriela, Martínez, Martínez, False, 2024012112, gmarta�nez2112@estudianteclvz.cr, (59, 17, 63, 45.9, 45.9)
